,A팀_득점,A팀_범실,A팀_공격종합성공률,A팀_오픈_성공률,A팀_속공_성공률,A팀_퀵오픈_성공률,A팀_서브_성공률,A팀_블로킹_성공률,A팀_디그_성공률,A팀_디그_점유율,A팀_리시브_성공률,A팀_리시브_점유율,A팀MVP,target,B팀_득점,B팀_범실,B팀_공격종합성공률,B팀_오픈_성공률,B팀_속공_성공률,B팀_퀵오픈_성공률,B팀_서브_성공률,B팀_블로킹_성공률,B팀_디그_성공률,B팀_디그_점유율,B팀_리시브_성공률,B팀_리시브_점유율,B팀MVP
195,53.0,21.0,17.235,10.3725,5.625,9.9025,0.29250000000000004,11.29032258064516,88.50574712643679,12.36,37.28813559322034,11.89375,0,0.0,46.0,20.0,18.5325,19.98875,9.286249999999999,14.58375,0.0,12.280701754385964,89.87341772151899,11.48375,28.985507246376812,12.5,1
196,56.0,24.0,20.99125,16.346249999999998,7.045,13.75,0.0625,14.583333333333334,83.69565217391305,11.615,48.68421052631579,10.79625,1,1.0,70.0,19.0,38.791111111111114,31.903333333333332,10.0,10.101111111111111,0.1388888888888889,16.0,82.10526315789474,11.11,41.53846153846154,11.11111111111111,0
197,44.0,21.0,24.9875,19.6725,9.375,11.7425,0.125,14.634146341463413,80.0,12.295,37.878787878787875,12.5,1,1.0,52.0,17.0,24.97375,20.13875,17.8575,10.02625,0.1675,10.526315789473683,83.54430379746836,12.34375,55.10204081632652,12.49875,0
198,40.0,19.0,25.34,25.56625,10.715,18.055,0.04125,10.81081081081081,79.41176470588235,12.31875,28.985507246376812,12.5,0,1.0,55.0,7.0,27.596666666666668,13.571111111111112,15.555555555555555,19.973333333333333,0.14777777777777779,18.6046511627907,85.71428571428571,10.954444444444444,21.951219512195124,10.846666666666668,1
199,72.0,18.0,28.44375,31.747500000000002,18.055,20.833750000000002,0.09375,18.181818181818183,83.54430379746836,11.75375,37.704918032786885,11.38125,0,0.0,55.0,22.0,16.851,14.436000000000002,3.6109999999999998,15.217000000000002,0.05,12.0,74.50980392156863,10.0,41.17647058823529,10.000000000000002,0
200,69.0,19.0,22.105,16.978749999999998,18.055,18.73375,0.05,8.450704225352112,82.80254777070064,12.5,33.33333333333333,12.50125,1,0.0,80.0,35.0,19.788,15.118,6.0,9.998999999999999,0.11300000000000002,8.13953488372093,86.92307692307692,9.774,51.515151515151516,10.0,1
201,62.0,15.0,47.114285714285714,32.128571428571426,16.667142857142856,21.428571428571427,0.33428571428571424,17.77777777777778,86.4406779661017,12.581428571428571,36.58536585365854,11.952857142857143,0,0.0,35.0,12.0,23.87714285714286,29.25857142857143,2.857142857142857,12.698571428571428,0.14285714285714285,20.689655172413797,84.44444444444444,10.715714285714284,40.0,14.285714285714286,0
202,40.0,15.0,31.97666666666667,24.011666666666667,4.166666666666667,16.636666666666667,0.2783333333333333,16.666666666666664,78.68852459016394,14.736666666666666,41.17647058823529,16.666666666666668,0,1.0,56.0,14.0,42.07285714285714,38.167142857142856,12.5,24.919999999999998,0.2857142857142857,8.0,87.65432098765432,14.285714285714286,34.0,14.285714285714286,0
203,79.0,14.0,27.49,32.457,5.0,28.381,0.15,13.333333333333334,85.88235294117646,9.998000000000001,40.0,10.0,1,0.0,67.0,17.0,20.40125,24.3975,3.57125,13.3325,0.1875,9.433962264150944,76.34408602150538,11.625,46.25,11.11125,1
204,60.0,23.0,36.50714285714286,28.327142857142857,23.810000000000002,22.98857142857143,0.14285714285714285,8.695652173913043,82.43243243243244,12.735714285714286,33.82352941176471,10.914285714285715,0,1.0,73.0,17.0,31.279999999999998,27.894444444444446,10.317777777777778,22.22222222222222,0.25,20.0,86.11111111111111,10.81,28.985507246376812,10.953333333333333,0
205,79.0,23.0,18.047,17.458,3.3329999999999997,14.513,0.12000000000000002,10.126582278481013,85.82089552238806,9.926,36.36363636363637,9.166,1,0.0,79.0,23.0,17.758,13.572999999999999,8.333,23.524,0.1,15.217391304347828,82.78688524590164,10.0,50.0,10.0,0
206,70.0,15.0,22.636666666666667,12.036666666666667,13.88888888888889,10.0,0.3977777777777778,19.642857142857142,84.21052631578947,11.11111111111111,30.64516129032258,10.282222222222222,0,0.0,51.0,30.0,26.797142857142855,29.08142857142857,4.761428571428572,14.51142857142857,0.2857142857142857,7.547169811320755,84.05797101449275,12.321428571428571,35.80246913580247,12.715714285714284,0
207,44.0,23.0,11.604444444444445,11.172222222222222,3.703333333333333,7.142222222222222,0.027777777777777776,12.280701754385964,85.57692307692307,10.8,40.0,10.457777777777778,0,1.0,69.0,25.0,21.61,11.365,12.18,7.3525,0.1875,17.543859649122805,86.61417322834646,12.21125,48.38709677419355,12.11,1
208,45.0,17.0,17.81142857142857,14.582857142857142,14.285714285714286,18.55,0.14142857142857143,11.538461538461538,85.54216867469879,13.787142857142857,36.36363636363637,14.071428571428571,0,1.0,50.0,22.0,29.078333333333333,24.73333333333333,9.523333333333333,23.13,0.11,12.698412698412698,91.89189189189192,15.416666666666666,30.35714285714285,15.818333333333333,0
209,34.0,10.0,33.666,29.665999999999997,10.0,24.157999999999998,0.0,16.0,75.0,13.334,20.0,15.384,0,1.0,57.0,13.0,32.11,24.86888888888889,13.88888888888889,18.88888888888889,0.1111111111111111,21.62162162162162,85.96491228070175,11.11,39.58333333333333,11.11111111111111,1
210,87.0,16.0,33.93375,32.9425,14.58375,17.6475,0.15000000000000002,12.643678160919542,79.8507462686567,12.4075,50.0,12.026250000000001,1,0.0,71.0,22.0,34.439,17.722,10.0,23.917,0.073,7.792207792207792,86.15384615384616,10.0,50.505050505050505,9.705,0
211,86.0,26.0,30.099999999999998,30.54222222222222,17.948888888888888,22.288888888888888,0.15555555555555556,15.942028985507243,82.64462809917356,11.02111111111111,56.666666666666664,11.11,1,0.0,72.0,17.0,21.857999999999997,13.563999999999998,13.334,9.702,0.07999999999999999,18.181818181818183,79.04761904761905,9.722,47.91666666666667,10.0,1
212,71.0,22.0,22.922,22.313,6.1899999999999995,11.334,0.133,16.883116883116884,83.72093023255815,9.772,37.5,9.887,1,0.0,77.0,28.0,27.220999999999997,19.006,5.0,22.778,0.16999999999999998,17.80821917808219,81.57894736842105,10.0,26.966292134831455,9.998999999999999,0
213,64.0,17.0,19.45777777777778,20.41444444444444,2.7777777777777777,11.984444444444444,0.1111111111111111,14.70588235294118,79.27927927927928,11.11,27.058823529411764,11.113333333333333,1,1.0,76.0,21.0,30.697499999999998,27.795,10.83375,16.805,0.135,15.068493150684931,82.85714285714286,12.15375,45.23809523809524,12.5,0
214,72.0,19.0,40.762,45.967,8.333,12.119,0.04,18.181818181818183,75.75757575757575,9.428,34.11764705882353,9.24,1,0.0,80.0,26.0,20.695999999999998,19.733,5.0,13.547,0.093,10.714285714285714,78.37837837837837,9.998,30.434782608695656,9.894,0
215,78.0,23.0,20.802222222222223,18.575555555555557,13.492222222222223,13.247777777777777,0.1111111111111111,13.750000000000002,85.18518518518519,10.714444444444446,33.33333333333333,10.395555555555555,0,0.0,77.0,28.0,31.856666666666666,31.473333333333333,4.762222222222222,20.741111111111113,0.08888888888888889,12.5,83.19327731092437,10.928888888888888,31.11111111111111,11.11111111111111,1
216,55.0,16.0,32.60875,41.9275,0.0,15.41625,0.24875000000000003,16.3265306122449,81.42857142857143,12.32625,32.075471698113205,11.83125,0,0.0,26.0,17.0,17.82857142857143,9.047142857142857,0.0,24.575714285714287,0.19,13.333333333333334,83.01886792452831,12.017142857142858,46.774193548387096,13.84,0
217,59.0,18.0,26.625999999999998,24.582,5.333,12.047,0.125,4.615384615384616,80.41237113402062,9.065000000000001,33.33333333333333,8.388,1,1.0,82.0,17.0,29.15222222222222,28.596666666666668,1.3888888888888888,12.95111111111111,0.25,8.955223880597014,86.08695652173914,11.11111111111111,40.27777777777778,10.811111111111112,1
218,51.0,29.0,20.4575,16.01125,11.45875,11.11125,0.1875,3.389830508474576,83.72093023255815,11.8125,34.72222222222222,10.1125,1,1.0,64.0,19.0,34.19125,30.06125,8.33375,15.5425,0.15625,21.428571428571427,85.41666666666666,12.245,44.61538461538462,12.3125,0
219,82.0,32.0,39.244,32.738,20.0,17.19,0.1,12.32876712328767,84.48275862068965,9.913999999999998,30.693069306930692,9.902000000000001,1,1.0,77.0,25.0,29.046666666666667,25.952222222222222,7.407777777777778,23.4,0.1,22.5,80.0,10.84,25.263157894736842,10.996666666666666,1
220,72.0,19.0,21.206666666666667,16.536666666666665,11.616666666666667,16.425555555555555,0.2688888888888889,11.11111111111111,83.4862385321101,10.53111111111111,45.67901234567901,11.11,0,0.0,69.0,22.0,27.2325,21.58625,4.16625,22.7325,0.21875,11.940298507462686,85.85858585858585,11.899999999999999,29.268292682926827,11.7825,1
